Type,PostCode,Borough,Area,Positioning,Date,Time,Description,Deaths
V1,SE16,Bermondsey,Bermondsey,LBSCR By Surrey Canal,,,This V1 on the LBCSR railway by the Surrey Canal is shown on both the bomb damage maps and the local paper maps published after the war. I cannot find a corresponding ARP or Fire Brigade record.,0
V1,SE16,Bermondsey,Rotherhithe,Redriff Road Opposite Canada Dock,,,This V1 in the Redriff Road is shown on the Bomb damage maps but I cannot reconcile it with an incident on the ARP records or Fire Brigade records,0
V1,SE16,Bermondsey,Rotherhithe,Silwood Street by Railway,,,This V1 in Silwood street is clearly shown on the bomb damage maps but I cannot reconcile it with either the ARP records or Fire Brigade records. As such I can provide no further information. To that extent there may be some doubt as to the accuracy of the bomb damage maps.,0
V1,SE16,Bermondsey,Bermondsey,Raymouth Road,16/06/1944,00:17,This V1 struck Raymouth Road,7
V1,SE16,Bermondsey,Deptford,Between Croft St and Chilton Grove,18/06/1944,01:15,This very serious incident occurred when the V1 struck between Crofton Street and Chilton Street . .8 houses were totally demolished and 200 suffered serious blast damage. The area today has been totally re-developed with local authority housing,18
V1,SE16,Bermondsey,Rotherhithe,Between Russia and Lady Dock,18/06/1944,05:00,This V1 struck Chamberlains wharf between Russia and Lady Dock. There were no casualties but a great deal of damage was caused to both the wharf and it foodstuff contents,0
V1,SE16,Bermondsey,Rotherhithe,,19/06/1944,17:15,"This V1 is not shown on the bomb maps and there is no Fire Brigade record. However, it is shown in both the Bermondsey ARP records and book of war dead. It struck Upper Crane Wharf in the Rotherhithe Street area and caused damaged to Rotherhithe Street , St Marys Church Street and Brunel Road .",1
V1,SE16,Bermondsey,Rotherhithe,Greenland Dock,23/06/1944,04:13,This V1 struck the SS Tristam which was standing in Greenland Dock at the time. The V1 hit the portside decking and penetrated though to the engine room. The same ship was struck again by a V1 on the 12st July.,2
V1,SE16,Bermondsey,Rotherhithe,Moodkee Street Lower Road junction,23/06/1944,04:13,"This was the first of 5 V weapons that were to fall in a very small area of Rotherhithe. This incident was followed by 2 further V1 and2 V2's.. 23 houses demolished This area today it is clear that no pre-war buildings remain demonstrating the sheer extent of the damage around this area,",6
V1,SE16,Bermondsey,Rotherhithe,South Wharf . Canï¿½t find it on old Rotherhithe Map. probably by South Dock,28/06/1944,03:25,The V1 struck South Wharf in Rotherhithe Street and damaged a range of buildings including some LCC flats.,0
V1,SE16,Bermondsey,Rotherhithe,Nelson Dock,30/06/1944,07:55,The V1 plunged into the Thames Adjacent to Nelson Dock. Damage was caused to the wharves and adjacent property. No casualties are reported,0
V1,SE16,Bermondsey,Rotherhithe,Lawrence Wharf,30/06/1944,16:40,The V1 plunged into the river adjacent to Lawrence Wharf . Slight blast damage was caused to the wharf .,0
V1,SE16,Bermondsey,Rotherhithe,Trinity Wharf,05/07/1944,20:04,The V1 struck Trinity Wharf . 1 person was killed and 3 injured. The Motor tug Jean was severely damaged and 5 barges slightly damaged. There was further damage to surrounding property,1
V1,SE16,Bermondsey,Rotherhithe,Albion Dock NE Side,09/07/1944,14:06,"This V1 descended on Albion Dock and exploded on impact with baulks of floating timber in the dock. A 1 storey brick building was severely damaged. An invasion barge, barge sections,4 temporary wooden structures and surrounding property damaged.",0
