"ref", "position", "fatalities", "date", "time", "postcode", "borough", "area", "notes"
"p198, Streatham Hill", "Streatham Hill/Opposite end of Wyatt Park Road", "0", "24/06/1944", "00:38", "SW2", "Wandsworth", "Streatham", "The V1 struck in the Streatham High Road opposite the end of Wyatt Park Road.A number of shops, flats and private houses were badly damaged. Looking at the flats opposite the end of Wyatt Park Road you can see the main impact site of the V1 where a V shaped wedge has been taken from the building and then patched up with a slightly different coloured brickwork."
"p198, Barcombe Avenue", "Barcombe Avenue West end North Side", "4", "28/06/1944", "01:15", "SW2", "Wandsworth", "Streatham", "The V1 impacted on the North side of Barcombe Avenue a short way up from Streatham High Road. 3 houses were totally demolished and a number badly damaged on both sides of the road. Post war housing can be seen on both side of the road here, indicating the impact site and interrupting the line of the normal style of housing seen in the ABC roads in Streatham"
"p198, Downton Avenue", "Downton Avenue West End North side North side towards Streatham High Road", "5", "18/06/1944", "01:07", "SW2", "Wandsworth", "Streatham", "This V1 fell on the North side of Downton Avenue a short way up from Streatham High Road. 10 houses were demolished and 17 severely damaged. Lesser damage across a wide area. The houses have been re-built to match undamaged counterparts. The only difference that can be detected is that the flank walls display the fact that they have been built using a red-brick common in the 40's, the originals used London stock yellow bricks for the same walls."
"p198, Daysbrook Road", "Daysbrook Road/Corner Wavertree Road", "1", "27/07/1944", "22:57", "SW2", "Wandsworth", "Streatham", "The V1 badly damaged the girls school at the Wavertree Road/Daysbrook Road junction. 10 house were demolished and 20 badly damaged in Daysbrook Road. 2 were demolished and 10 badly damaged in Wavertree Road. The damage area extended right down Daysbrook Road, including number 2 slightly damaged where I lived for 6 years from 1990. The school has been re-built and carries a plaque which commemorates the event. The demolished houses in Daysbrook Road have been replaced with 60's housing, further down the frontages of the remaining Victorian houses show signs of significant re-building."
"p198, Amesbury Avenue", "Amesbury Avenue Junction with Hillside Road", "4", "29/06/1944", "10:49", "SW2", "Wandsworth", "Streatham", "The V1 struck at the junction of Amesbury Road and Hillside Road. 10 houses were totally demolished and a large number badly damaged. The area around the impact site has been extensively re-developed with post war housing and shops"
"p198, Kingsmead Road", "Kingsmead Road just north of Bend", "0", "03/07/1944", "18:43", "SW2", "Lambeth", "Tulse Hill", "The V1 struck in Kingsmead road just short of the sharp bend. 2 houses were totally demolished and 40 others very badly damaged."
"p198, Lanercost Road", "Christchurch Road/LanercostRoad/ Hillside Road", "6", "22/06/1944", "05:15", "SW2", "Lambeth", "Tulse Hill", "The V1 fell between Christchurch and Lanercost Road a short way up from the junction with Hillside road. .. 6 houses were demolished and 20 very badly damaged. Today the line of large Victorian houses in Christchurch road is interrupted by post war housing development which extend back into Lanercost road."
"p198, Tulse Hill", "Tulse Hill/Abbots park junction", "0", "16/07/1944", "00:13", "SW2", "Lambeth", "Tulse Hill", "The V1 demolished 4 houses on Tulse Hill in the area of the post war St Martins Estate A further 30 were badly damaged. No casualties were reported by the Fire Brigade."
"p199, Brockwell Park", "Brockwell Park", "0", "27/06/1944", "04:25", "SW2", "Lambeth", "Brixton", "The V1 fell in open space in Brockwell Park. No casualties are reported by the Fire Brigade but some damage to surrounding buildings is noted."
"p199, Guernsey Grove"
